السنة,الربع,المنطقة,النشاط الاقتصادي,عدد المنشآت متناهية الصغر,عدد المنشآت الصغيرة,عدد المنشآت المتوسطة,عدد المنشآت الكبيرة,عدد المنشآت,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2023,2,منطقة مكة المكرمة,تشييد المباني,22610.0,5126.0,475.0,95.0,28306.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,تعدين الفحم والليغنيت,9.0,2.0,,,11.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,تعدين ركازات الفلزات,40.0,8.0,4.0,,52.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,11.0,8.0,5.0,1.0,25.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,توصيل الكهرباء والغاز والبخار وتكييف الهواء,65.0,31.0,5.0,2.0,103.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,714.0,134.0,15.0,3.0,866.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صُنع المشروبات,99.0,40.0,26.0,7.0,172.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صُنع الملبوسات,2991.0,193.0,21.0,2.0,3207.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صُنع المنتجات الجلدية والمنتجات ذات الصلة,26.0,8.0,1.0,,35.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صُنع المنتجات الغذائية,1582.0,430.0,118.0,36.0,2166.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صُنع المنسوجات,305.0,55.0,8.0,2.0,370.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صُنع المواد الكيميائية والمنتجات الكيميائية,257.0,201.0,85.0,5.0,548.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صُنع الورق ومنتجات الورق,59.0,81.0,34.0,4.0,178.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صناعة الآلات والمعدات غير المصنفة في موضع أخر,85.0,42.0,18.0,2.0,147.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,44.0,16.0,9.0,1.0,70.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صناعة معدات النقل الأخرى,25.0,6.0,4.0,,35.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صنع الأثاث,757.0,107.0,31.0,,895.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صنع الحواسيب والمنتجات الإلكترونية والبصرية,119.0,18.0,3.0,2.0,142.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صنع الفلزات القاعدية,171.0,93.0,34.0,12.0,310.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صنع المعدات الكهربائية,136.0,45.0,9.0,4.0,194.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,38.0,16.0,7.0,1.0,62.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صنع فحم الكوك والمنتجات النفطية المكررة,18.0,20.0,4.0,4.0,46.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صنع منتجات المطاط واللدائن,100.0,87.0,34.0,12.0,233.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صنع منتجات المعادن اللافلزية الأخرى,539.0,248.0,99.0,17.0,903.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),2197.0,364.0,80.0,9.0,2650.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,6397.0,100.0,2.0,1.0,6500.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,678.0,315.0,12.0,1.0,1006.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,غير معرف,17960.0,438.0,8.0,,18406.0,,,,,,,,,,
2023,2,منطقة نجران,أبحاث الإعلان والسوق,47.0,10.0,,,57.0,,,,,,,,,,
2023,2,منطقة نجران,استخراج النفط الخام والغاز الطبيعي,6.0,2.0,,,8.0,,,,,,,,,,
2023,2,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,214.0,37.0,4.0,,255.0,,,,,,,,,,
2023,2,منطقة نجران,إصلاح وتركيب الآلات والمعدات,59.0,2.0,1.0,,62.0,,,,,,,,,,
2023,2,منطقة نجران,الاتصالات,9.0,1.0,,,10.0,,,,,,,,,,
2023,2,منطقة نجران,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,14.0,,,,14.0,,,,,,,,,,
2023,2,منطقة نجران,الإقامة,111.0,18.0,1.0,,130.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2.0,,,,2.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة الأخرى للتعدين واستغلال المحاجر,17.0,7.0,3.0,,27.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,107.0,2.0,,,109.0,,,,,,,,,,
